Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
"IMPROPER DISPLAY OF REGISTRATION PLATES, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",WALLER AVE & ELIZABETH ST  ,Lexington,Kentucky,United States of America,DUI,1/13/2015 6:25,Cleared By Arrest,WALLER AVE & ELIZABETH ST,20150102,"IMPROPER DISPLAY OF REGISTRATION PLATES, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",DUI,Cleared By Arrest,WALLER AVE & ELIZABETH ST
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/13/2015 13:09,Closed CSA,1350 BULL LEA RD,CSA20150036,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
THEFT OF MOTOR VEHICLE REGISTRATION PLATE/F,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,1/14/2015 3:00,Closed,1540 UNIVERSITY DR,20150106,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/F,Theft,Closed,1540 UNIVERSITY DR
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,767 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,1/12/2015 2:54,Closed Disciplinary Referral,767 WOODLAND AVE,201501264,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Liquor Law Violation,Closed Disciplinary Referral,767 WOODLAND AVE
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/13/2015 21:20,Closed CSA,1350 BULL LEA RD,CSA20150038,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6; MINOR IN POSSESSION OF ALCOHOL,650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,1/12/2015 5:10,Closed Disciplinary Referral,650 WOODLAND AVE,CSA20150039,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6; MINOR IN POSSESSION OF ALCOHOL,Liquor Law Violation,Closed Disciplinary Referral,650 WOODLAND AVE
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,310 ROSE LN  ,Lexington,Kentucky,United States of America,Liquor Law Violation,1/13/2015 2:25,Closed Disciplinary Referral,310 ROSE LN,CSA20150040,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Liquor Law Violation,Closed Disciplinary Referral,310 ROSE LN
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/12/2015 4:59,Closed,310 SOUTH LIMESTONE ST,20150109,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
DRUG PARAPHERNALIA - BUY/POSSESS/M,705 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Drug Violations,1/14/2015 20:30,Citation Issued,705 SPORTS CENTER DR,20150110,DRUG PARAPHERNALIA - BUY/POSSESS/M,Drug Violations,Citation Issued,705 SPORTS CENTER DR
TBUT OR DISP FROM BUILDING U/$500/M,705 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,1/13/2015 23:30,Open,705 SPORTS CENTER DR,20150111,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,705 SPORTS CENTER DR
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,1/14/2015 1:00,Closed,401 HILLTOP AVE,20150112,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,401 HILLTOP AVE
"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE OF CRED CARD AFTER REPORT LOST/STOLEN U/$500 W/6 MONTHS/M",102 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,1/14/2015 23:30,Open,102 AVENUE OF CHAMPIONS,20150113,"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE OF CRED CARD AFTER REPORT LOST/STOLEN U/$500 W/6 MONTHS/M",Theft,Open,102 AVENUE OF CHAMPIONS
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),236 BOLIVAR ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/15/2015 7:10,Cleared By Arrest,236 BOLIVAR ST,20150115,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,236 BOLIVAR ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),212 EAST MAXWEL ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/15/2015 7:25,Cleared By Arrest,212 EAST MAXWEL ST,20150116,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,212 EAST MAXWEL ST
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/15/2015 3:26,Closed CSA,1350 BULL LEA RD,CSA20150041,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
TBUT CONTENTS FROM VEHICLE U/$500/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,1/13/2015 12:30,Closed,1540 UNIVERSITY DR,20150119,TBUT CONTENTS FROM VEHICLE U/$500/M,Theft,Closed,1540 UNIVERSITY DR
"NO REGISTRATION PLATES, POSS OF MARIJUANA/M",ALUMNI DR & UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Drug Violations,1/16/2015 1:09,Citation Issued,ALUMNI DR & UNIVERSITY DR,20150124,"NO REGISTRATION PLATES, POSS OF MARIJUANA/M",Drug Violations,Citation Issued,ALUMNI DR & UNIVERSITY DR
"NO REGISTRATION PLATES, FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC 1ST OFF/M, OPERATING VEHICLE WITH EXPIRED OPERATORS LICENSE/M, POSS OF MARIJUANA/M",SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Drug Violations,1/16/2015 4:42,Citation Issued,SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS,20150126,"NO REGISTRATION PLATES, FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC 1ST OFF/M, OPERATING VEHICLE WITH EXPIRED OPERATORS LICENSE/M, POSS OF MARIJUANA/M",Drug Violations,Citation Issued,SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS
"POSS OF MARIJUANA/M X2, DRUG PARAPHERNALIA-BUY/POSSESS/M X2, POSS CONT SUB 1ST DEG 1ST OFF (COCAINE)/F, POSS CONT SUB 2ND DEGREE - DRUG UNSPECIFIED/M, TAMPERING WITH PHYSICAL EVIDENCE/F",769 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Drug Violations,1/16/2015 5:23,Citation Issued,769 WOODLAND AVE,20150127,"POSS OF MARIJUANA/M X2, DRUG PARAPHERNALIA-BUY/POSSESS/M X2, POSS CONT SUB 1ST DEG 1ST OFF (COCAINE)/F, POSS CONT SUB 2ND DEGREE - DRUG UNSPECIFIED/M, TAMPERING WITH PHYSICAL EVIDENCE/F",Drug Violations,Citation Issued,769 WOODLAND AVE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",180 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,1/14/2015 12:30,Closed,180 AVENUE OF CHAMPIONS,20150123,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,180 AVENUE OF CHAMPIONS
ASSAULT ,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/15/2015 16:54,Closed CSA,1350 BULL LEA RD,CSA20150042,ASSAULT ,Assault,Closed CSA,1350 BULL LEA RD
TBUT OR DISP FROM BUILDING U/$500/M,410 ROSE LN  ,Lexington,Kentucky,United States of America,Theft,1/15/2015 16:00,Closed,410 ROSE LN,20150128,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,410 ROSE LN
DISORDERLY CONDUCT 2ND/M,ROSE LN & LINDEN WALK  ,Lexington,Kentucky,United States of America,Disorderly Conduct,1/17/2015 6:11,Open,ROSE LN & LINDEN WALK,20150138,DISORDERLY CONDUCT 2ND/M,Disorderly Conduct,Open,ROSE LN & LINDEN WALK
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,1/17/2015 6:15,Open,UNIVERSITY DR,20150141,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,UNIVERSITY DR
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,1/15/2015 13:30,Closed,800 ROSE ST,20150142,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,800 ROSE ST
"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",767 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Drug Violations,1/17/2015 21:00,Citation Issued,767 WOODLAND AVE,20150144,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Drug Violations,Citation Issued,767 WOODLAND AVE
ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/18/2015 1:24,Cleared By Arrest,310 SOUTH LIMESTONE ST,20150148,ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M,Alcohol Intoxication,Cleared By Arrest,310 SOUTH LIMESTONE ST
"IMPROPER START FROM A PARKED POSITION, DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OPER LICENSE/M, OPER MOTOR VEHICLE U/INFLU ALCOHOL <21 YOA",SOUTH LIMESTONE ST & VIRGINIA AVE  ,Lexington,Kentucky,United States of America,DUI,1/18/2015 7:43,Cleared By Arrest,SOUTH LIMESTONE ST & VIRGINIA AVE,20150151,"IMPROPER START FROM A PARKED POSITION, DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OPER LICENSE/M, OPER MOTOR VEHICLE U/INFLU ALCOHOL <21 YOA",DUI,Cleared By Arrest,SOUTH LIMESTONE ST & VIRGINIA AVE
"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND/M",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/19/2015 6:23,Cleared By Arrest,1000 SOUTH LIMESTONE ST,20150159,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND/M",Alcohol Intoxication,Cleared By Arrest,1000 SOUTH LIMESTONE ST
CRIMINAL MISCHIEF 3RD/M,721 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Criminal Mischief,1/19/2015 7:25,Open,721 SPORTS CENTER DR,20150160,CRIMINAL MISCHIEF 3RD/M,Criminal Mischief,Open,721 SPORTS CENTER DR
DISORDERLY CONDUCT 2ND/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Disorderly Conduct,1/19/2015 7:46,Cleared By Arrest,1000 SOUTH LIMESTONE ST,20150161,DISORDERLY CONDUCT 2ND/M,Disorderly Conduct,Cleared By Arrest,1000 SOUTH LIMESTONE ST
TERRORISTIC THREATENING,800 ROSE ST  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/16/2015 14:00,Closed N/A,800 ROSE ST,201501812,TERRORISTIC THREATENING,Terroristic Threatening,Closed N/A,800 ROSE ST
TERRORISTIC THREATENING,800 ROSE ST  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/17/2015 2:00,Closed N/A,800 ROSE ST,201501873,TERRORISTIC THREATENING,Terroristic Threatening,Closed N/A,800 ROSE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/18/2015 5:21,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD,201502026,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD
CRIMINAL MISCHIEF 3RD/M,252 EAST MAXWELL ST  ,Lexington,Kentucky,United States of America,Criminal Mischief,1/19/2015 1:00,Closed,252 EAST MAXWELL ST,20150162,CRIMINAL MISCHIEF 3RD/M,Criminal Mischief,Closed,252 EAST MAXWELL ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",468 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,1/18/2015 0:00,Open,468 ROSE ST,20150163,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,468 ROSE ST
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/17/2015 5:37,Closed CSA,1350 BULL LEA RD,CSA20150043,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/17/2015 22:25,Closed CSA,1350 BULL LEA RD,CSA20150044,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/17/2015 23:12,Closed CSA,1350 BULL LEA RD,CSA20150045,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/18/2015 9:10,Closed CSA,1350 BULL LEA RD,CSA20150046,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/18/2015 23:17,Closed CSA,1350 BULL LEA RD,CSA20150047,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/18/2015 22:38,Closed CSA,1350 BULL LEA RD,CSA20150048,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/19/2015 14:45,Closed CSA,1350 BULL LEA RD,CSA20150049,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/19/2015 19:24,Closed CSA,1350 BULL LEA RD,CSA20150050,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/19/2015 20:40,Closed CSA,1350 BULL LEA RD,CSA20150051,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/20/2015 0:40,Closed CSA,1350 BULL LEA RD,CSA20150052,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/20/2015 7:20,Closed CSA,1350 BULL LEA RD,CSA20150053,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,1/20/2015 10:50,Closed CSA,1350 BULL LEA RD,CSA20150054,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/20/2015 16:55,Closed CSA,1350 BULL LEA RD,CSA20150055,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,769 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,1/17/2015 15:20,Closed Disciplinary Referral,769 WOODLAND AVE,CSA20150056,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Liquor Law Violation,Closed Disciplinary Referral,769 WOODLAND AVE
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X12,325 HUGUELET DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,1/18/2015 7:00,Closed Disciplinary Referral,325 HUGUELET DR,CSA20150057,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X12,Liquor Law Violation,Closed Disciplinary Referral,325 HUGUELET DR
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,705 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,1/17/2015 21:20,Closed Disciplinary Referral,705 SPORTS CENTER DR,CSA20150058,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Liquor Law Violation,Closed Disciplinary Referral,705 SPORTS CENTER DR
CRIMINAL MISCHIEF,769 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Criminal Mischief,1/18/2015 18:00,Closed CSA,769 WOODLAND AVE,CSA20150059,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,769 WOODLAND AVE
CRIMINAL MISCHIEF,769 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Criminal Mischief,1/18/2015 7:00,Closed CSA,769 WOODLAND AVE,CSA20150060,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,769 WOODLAND AVE
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,361 HUGUELET DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,1/19/2015 22:28,Closed Disciplinary Referral,361 HUGUELET DR,CSA20150061,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Liquor Law Violation,Closed Disciplinary Referral,361 HUGUELET DR
ASSAULT,740 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Assault,1/19/2015 0:00,Closed CSA,740 WOODLAND AVE,CSA20150062,ASSAULT,Assault,Closed CSA,740 WOODLAND AVE
"TBUT OR DISP BICYCLES U/$500/M, CRIMINAL MISCHIEF 3RD/M",300 ALUMNI DR  ,Lexington,Kentucky,United States of America,Theft,1/17/2015 18:00,Closed,300 ALUMNI DR,20150131,"TBUT OR DISP BICYCLES U/$500/M, CRIMINAL MISCHIEF 3RD/M",Theft,Closed,300 ALUMNI DR
CRIMINAL MISCHIEF 3RD/M,301 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Criminal Mischief,1/20/2015 3:00,Closed,301 HILLTOP AVE,20150165,CRIMINAL MISCHIEF 3RD/M,Criminal Mischief,Closed,301 HILLTOP AVE
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),304 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/21/2015 6:30,Cleared By Arrest,304 SOUTH LIMESTONE ST,20150167,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,304 SOUTH LIMESTONE ST
"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA -BUY/POSSESS/M",125 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Drug Violations,1/20/2015 20:30,Citation Issued,125 AVENUE OF CHAMPIONS,20150166,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA -BUY/POSSESS/M",Drug Violations,Citation Issued,125 AVENUE OF CHAMPIONS
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/18/2015 8:05,Cleared By Arrest,SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS,20150152,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/20/2015 21:23,Closed CSA,1350 BULL LEA RD,CSA20150063,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/20/2015 18:20,Closed CSA,1350 BULL LEA RD,CSA20150064,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
"CRIMINAL MISCHIEF, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,1/21/2015 6:34,Closed CSA,1350 BULL LEA RD,CSA20150065,"CRIMINAL MISCHIEF, TERRORISTIC THREATENING",Criminal Mischief,Closed CSA,1350 BULL LEA RD
ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/21/2015 16:09,Cleared By Arrest,310 SOUTH LIMESTONE ST,20150170,ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M,Alcohol Intoxication,Cleared By Arrest,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/17/2015 13:00,Closed,310 SOUTH LIMESTONE ST,20150172,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
CRIMINAL TRESPASS 1ST/M,845 RED MILE RD  ,Lexington,Kentucky,United States of America,Criminal Trespass,1/21/2015 21:30,Open,845 RED MILE RD,20150174,CRIMINAL TRESPASS 1ST/M,Criminal Trespass,Open,845 RED MILE RD
CRIMINAL MISCHIEF 3RD/M,110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Criminal Mischief,1/21/2015 20:00,Closed,110 TRANSCRIPT AVE,20150175,CRIMINAL MISCHIEF 3RD/M,Criminal Mischief,Closed,110 TRANSCRIPT AVE
"TRAF IN MARIJUANA (LESS THAN 8 OZ) 1ST OFF/M, POSS CONT SUB 1ST DEG 1ST OFF (OPIATES)/F, POSS OF MARIJUANA/M, POSS CONT SUB 2ND DEGREE - DRUG UNSPECIFIED/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",316 AYLESFORD PL  ,Lexington,Kentucky,United States of America,Drug Violations,1/22/2015 5:16,Citation Issued,316 AYLESFORD PL,20150176,"TRAF IN MARIJUANA (LESS THAN 8 OZ) 1ST OFF/M, POSS CONT SUB 1ST DEG 1ST OFF (OPIATES)/F, POSS OF MARIJUANA/M, POSS CONT SUB 2ND DEGREE - DRUG UNSPECIFIED/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Drug Violations,Citation Issued,316 AYLESFORD PL
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/21/2015 12:54,Closed CSA,1350 BULL LEA RD,CSA20150066,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/21/2015 22:55,Closed CSA,1350 BULL LEA RD,CSA20150067,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL",750 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Drug Violations,1/23/2015 1:00,Closed Disciplinary Referral,750 WOODLAND AVE,20150181,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL",Drug Violations,Closed Disciplinary Referral,750 WOODLAND AVE
"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M X2",AVENUE OF CHAMPIONS & SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Drug Violations,1/23/2015 3:40,Citation Issued,AVENUE OF CHAMPIONS & SOUTH LIMESTONE ST,20150182,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M X2",Drug Violations,Citation Issued,AVENUE OF CHAMPIONS & SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),HOSPITAL DR & VETERANS DR  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,1/23/2015 5:25,Cleared By Arrest,HOSPITAL DR & VETERANS DR,20150183,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,HOSPITAL DR & VETERANS DR
"FAILURE TO WEAR SEAT BELTS, DRUG PARAPHERNALIA - BUY/POSSESS/M",COOPER DR & VETERANS DR  ,Lexington,Kentucky,United States of America,Drug Violations,1/23/2015 6:48,Citation Issued,COOPER DR & VETERANS DR,20150185,"FAILURE TO WEAR SEAT BELTS, DRUG PARAPHERNALIA - BUY/POSSESS/M",Drug Violations,Citation Issued,COOPER DR & VETERANS DR
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Liquor Law Violation,1/19/2015 5:22,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD,CSA20150068,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Liquor Law Violation,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD
ASSAULT ,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/22/2015 19:05,Closed CSA,1350 BULL LEA RD,CSA20150069,ASSAULT ,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,1/23/2015 11:43,Closed CSA,1350 BULL LEA RD,CSA20150070,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
DRUG PARAPHERNALIA - BUY/POSSESS/M; POSS OF MARIJUANA/M,SOUTH LIMESTONE ST & PRALL ST  ,Lexington,Kentucky,United States of America,Drug Violations,1/24/2015 6:04,Citation Issued,SOUTH LIMESTONE ST & PRALL ST,20150192,DRUG PARAPHERNALIA - BUY/POSSESS/M; POSS OF MARIJUANA/M,Drug Violations,Citation Issued,SOUTH LIMESTONE ST & PRALL ST
