Category,Case Number,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,,,,,,,,,,,,,,
Alcohol Intoxication,20133354,12/11/2013 - 2:11am,12/11/2013,SOUTH LIMESTONE ST & WALLER AVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Disorderly Conduct,20133356,12/11/2013 - 3:53am,12/11/2013,1000 SOUTH LIMESTONE ST,DISORDERLY CONDUCT 1ST/M,No,Cleared By Arrest,,,,,,,,,,,,,,
Criminal Mischief,2013196968,12/09/2013 - 6:00pm,12/11/2013,845 RED MILE RD,"CRIMINAL MISCHIEF 3RD/M, HARASSING COMMUNICATIONS/M",No,Closed - Lexington Police Report,,,,,,,,,,,,,
Assault,20133358,12/11/2013 - 7:50am,12/11/2013,740 SOUTH LIMESTONE ST,ASSAULT 2ND/F,No,Closed,,,,,,,,,,,,,,
Harassing Communications,20133362,12/09/2013 - 6:00pm,12/11/2013,401 HILLTOP AVE,HARASSING COMMUNICATIONS/M,No,Closed,,,,,,,,,,,,,,
Theft,20133364,12/11/2013 - 3:30pm,12/11/2013,1540 UNIVERSITY DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Open,,,,,,,,,,,,,,
Theft,20133363,12/11/2013 - 8:00am,12/11/2013,1540 UNIVERSITY DR,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed,,,,,,,,,,,,,,
Theft,20133366,12/11/2013 - 5:00pm,12/11/2013,401 HILLTOP AVE,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
Criminal Mischief,CSA20130079,12/11/2013 - 11:45am,12/11/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20130080,12/11/2013 - 7:40pm,12/11/2013,1350 BULL LEA RD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130081,12/11/2013 - 7:24pm,12/11/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Burglary,20133350,12/09/2013 - 8:30pm,12/10/2013,135 GRAHAM AVE,BURGLARY 3RD/F,No,Closed,,,,,,,,,,,,,,
Theft,20133352,12/10/2013 - 3:00pm,12/10/2013,115 HUGUELET DR,"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",No,Closed,,,,,,,,,,,,,
Burglary,20133346,12/06/2013 - 8:00am,12/10/2013,900 SOUTH LIMESTONE ST,"BURGLARY 3RD/F, FLEEING OR EVADING POLICE 1ST (ON FOOT)/F",No,Open,,,,,,,,,,,,,
Theft,20133349,12/06/2013 - 5:00pm,12/10/2013,342 ROSE ST,TBUT OR DISP ALL OTHERS U/$500/M,No,Open,,,,,,,,,,,,,,
Assault,CSA20130077,12/10/2013 - 3:20pm,12/10/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130078,12/10/2013 - 5:50pm,12/10/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,20133351,12/10/2013 - 8:15am,12/10/2013,1350 BULL LEA RD,CRIMINAL USE OF NOXIOUS SUBSTANCE/M,No,Open,,,,,,,,,,,,,,
DUI,20133334,12/09/2013 - 2:28am,12/9/2013,SOUTH LIMESTONE ST & CONN TERR,"CARELESS DRIVING, NO OPERATORS-MOPED LICENSE/M, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,,,,,,,,,,,,
Theft,20133342,12/04/2013 - 11:00am,12/9/2013,769 WOODLAND AVE,TBUT OR DISP FROM BUILDING U/$500/M,Yes,Closed,,,,,,,,,,,,,,
Theft,20133343,12/09/2013 - 7:00pm,12/9/2013,721 SPORTS CENTER DR,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Open,,,,,,,,,,,,,,
Theft,20133337,12/09/2013 - 10:30am,12/9/2013,404 SOUTH LIMESTONE ST,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",No,Closed,,,,,,,,,,,,,
Assault,CSA20130074,12/09/2013 - 1:00pm,12/9/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130075,12/09/2013 - 3:52pm,12/9/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130076,12/09/2013 - 5:35pm,12/9/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Motor Vehicle Theft,2013-0-689,12/08/2013 - 10:00am,12/9/2013,"380 J.M. FELTNER RD, LONDON, KY","TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F, TBUT OR DISP AUTO $10,000 OR MORE BUT U/$1,0,000/F, CRIMINAL MISCHIEF 1ST/F (ORIGINAL REPORT WAS CSA20130073)",No,Closed - Other Agency Report,,,,,,
Alcohol Intoxication,20133320,12/08/2013 - 12:04am,12/8/2013,1540 UNIVERSITY DR,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Drug Violations,20133321,12/08/2013 - 12:33pm,12/8/2013,1540 UNIVERSITY DR,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL",No,Citation issued,,,,,,,,,,,,
Drug Violations,20133322,12/08/2013 - 1:02am,12/8/2013,756 WOODLAND AVE,"DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS OF MARIJUANA/M",No,Citation issued,,,,,,,,,,,,,
Alcohol Intoxication,20133323,12/08/2013 - 3:11am,12/8/2013,1000 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,20133325,12/08/2013 - 12:45pm,12/8/2013,310 SOUTH LIMESTONE ST,"ASSAULT 4TH (MINOR INJURY)/M, ASSAULT 4TH (NO VISIBLE INJURY)/M",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20133332,11/08/2013 - 8:00am,12/8/2013,769 WOODLAND AVE,"RECEIVING STOLEN PROPERTY U/$10,000/F, TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Yes,Citation issued,,,,,,,,,,,
Assault,20133333,12/08/2013 - 7:00pm,12/8/2013,UNIVERSITY CT,ASSAULT 4TH (MINOR INJURY)/M,No,Unfounded,,,,,,,,,,,,,,
Sex Offenses,20133329,12/07/2013 - 12:50am,12/8/2013,WOODLAND AVE,"HARASSMENT - PHYSICAL CONTACT - NO INJURY/M, SODOMY 1ST/F",Yes,Open,,,,,,,,,,,,,
Assault,20133313,12/07/2013 - 2:45am,12/7/2013,456 ROSE ST,ASSAULT 4TH (MINOR INJURY)/M,No,Open,,,,,,,,,,,,,,
Assault,2013195264,12/07/2013 - 2:15am,12/7/2013,EAST MAXWELL ST & SOUTH MLK BLVD,ASSAULT 2ND/F,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Alcohol Intoxication,201351120,12/06/2013 - 12:12am,12/6/2013,COLUMBIA AVE & PENNSYLVANIA TER,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Closed - N/A,,,,,,,,,,,,,,
Alcohol Intoxication,2013193753,12/04/2013 - 3:35pm,12/6/2013,SOUTH LIMESTONE ST & EAST MAXWELL ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Assault,CSA20130067,12/06/2013 - 9:25am,12/6/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130068,12/06/2013 - 10:15am,12/6/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Burglary,20133307,12/06/2013 - 8:45am,12/6/2013,550 SOUTH LIMESTONE ST,BURGLARY 3RD/F,No,Open,,,,,,,,,,,,,,
Liquor Law Violation,20133311,12/06/2013 - 11:12pm,12/6/2013,319 COLUMBIA AVE,"PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE), DISORDERLY CONDUCT 2ND/M, HARASSMENT - PHYSICAL CONTACT - NO INJURY/M, RESISTING ARREST/M",No,Cleared By Arrest,,,,,,,,,,
All Other Offenses,20133312,12/06/2013 - 11:55pm,12/6/2013,701 SPORTS CENTER DR,INDECENT EXPOSURE 2ND/M,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,2013193420,12/04/2013 - 12:23am,12/5/2013,PINE ST & JERSEY ST,"ALCOHOL INTOX IN PUBLIC PLACE-3RD OR > OFF W/12 MO, BEGGING OR SOLICITING ALMS OR MONEY PROHIBITED, CRIMINAL TRESPASSING-3RD DEGREE, RESISTING ARREST",No,Closed - Lexington Police Report,,,,,,,,,,,
Assault,CSA20130064,12/05/2013 - 5:18am,12/5/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20133292,12/05/2013 - 7:56am,12/5/2013,740 SOUTH LIMESTONE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open,,,,,,,,,,,,,
Burglary,20133294,12/05/2013 - 8:30am,12/5/2013,138 LEADER AVE,BURGLARY 3RD/F,No,Open,,,,,,,,,,,,,,
Theft,20133296,11/18/2013 - 8:00am,12/5/2013,447 PENNSYLVANIA AVE,TBUT OR DISP ALL OTHERS U/$500/M,Yes,Closed,,,,,,,,,,,,,,
Theft,20133301,12/05/2013 - 1:30pm,12/5/2013,1000 SOUTH LIMESTONE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed,,,,,,,,,,,,,
Drug Violations,20133303,12/05/2013 - 10:00pm,12/5/2013,758 WOODLAND AVE,DRUG PARAPHERNALIA - BUY/POSSESS/M,Yes,Citation issued,,,,,,,,,,,,,,
Assault,20133304,12/05/2013 - 11:39pm,12/5/2013,769 WOODLAND AVE,ASSAULT 4TH MINOR INJURY/M,Yes,Open,,,,,,,,,,,,,,
Harassing Communications,20133293,12/02/2013 - 2:03pm,12/5/2013,406 ADMINISTRATION DR,HARASSING COMMUNICATIONS/M,No,Closed,,,,,,,,,,,,,,
Theft,20133297,12/04/2013 - 2:00pm,12/5/2013,SCOTT ST,TBUT OR DISP ALL OTHERS U/$500/M,No,Open,,,,,,,,,,,,,,
Assault,CSA20130065,12/05/2013 - 5:00pm,12/5/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130066,12/05/2013 - 3:50pm,12/5/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20133276,12/04/2013 - 2:49am,12/4/2013,NICHOLASVILLE RD & FARM RD,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20133284,12/04/2013 - 1:50pm,12/4/2013,140 PATTERSON DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,,,,,,,,,,,,,,
Burglary,20133287,12/04/2013 - 8:00pm,12/4/2013,1401 NICHOLASVILLE RD,BURGLARY 3RD/F,No,Open,,,,,,,,,,,,,,
Theft,20133279,11/26/2013 - 5:00pm,12/4/2013,232 EAST MAXWELL ST,TBUT DISP ALL OTHERS U/$500/M,No,Closed,,,,,,,,,,,,,,
Theft,20133281,12/04/2013 - 8:00am,12/4/2013,1000 SOUTH LIMESTONE ST,TBUT OR DISP ALL OTHERS U/$500/M,No,Closed,,,,,,,,,,,,,,
Assault,CSA20130060,11/29/2013 - 10:00pm,12/4/2013,1000 SOUTH LIMESTONE ST,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130063,12/04/2013 - 12:29pm,12/4/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20133277,11/27/2013 - 4:00pm,12/4/2013,1000 SOUTH LIMESTONE ST,TBUT OR DISP ALL OTHERS U/$500/M,No,Closed,,,,,,,,,,,,,,
Drug Violations,20133267,12/03/2013 - 12:32am,12/3/2013,ALUMNI DR & UNIVERSITY DR,"DISREGARDING STOP SIGN, POSS OF MARIJUANA/M",No,Citation issued,,,,,,,,,,,,,
Assault,20133269,12/02/2013 - 5:30pm,12/3/2013,800 ROSE ST,ASSAULT 4TH MINOR INJURY/M,No,Closed - Cleared By Exception,,,,,,,,,,,,,,
Assault,201350853,12/03/2013 - 8:00pm,12/3/2013,310 SOUTH LIMESTONE ST,ASSAULT 4TH,No,Closed - N/A,,,,,,,,,,,,,,
Criminal Mischief,2013191839,12/01/2013 - 2:00am,12/3/2013,236 LEXINGTON AVE,CRIMINAL MISCHIEF 2ND/M,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Assault,CSA20130061,12/03/2013 - 10:50am,12/3/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130062,12/03/2013 - 7:25pm,12/3/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20133254,12/02/2013 - 3:11am,12/2/2013,SOUTH LIMESTONE ST & VIRGINIA AVE,"SPEEDING 21 MPH OVER LIMIT, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 1ST AGG CIRCUM/M, FAILURE TO NOTIFY ADRS CHANGE TO DEPT OF TRANS/M",No,Cleared By Arrest,,,,,,,,,,,,
Theft,20133257,12/02/2013 - 12:30pm,12/2/2013,404 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Open,,,,,,,,,,,,,,
Criminal Mischief,20133259,12/02/2013 - 8:00am,12/2/2013,LINDEN WALK,CRIMINAL MISCHIEF 2ND/M,No,Closed,,,,,,,,,,,,,,
Theft,20133260,11/29/2013 - 4:00pm,12/2/2013,140 PATTERSON DR,TBUT OR DISP BICYCLES U/$500/M,No,Closed,,,,,,,,,,,,,,
Theft,20133262,11/26/2013 - 5:00pm,12/2/2013,430 COMPLEX DR,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open,,,,,,,,,,,,,
All Other Offenses,2013192784,12/02/2013 - 11:30pm,12/2/2013,TATES CREEK RD & MONTCLAIR DR,"RECKLESS DRIVING, FLEEING/EVADING POLICE 1ST MOTOR VEHICLE, WANTON ENDANGERMENT 1ST, RECEIVING STOLEN PROPERTY (FIREARM), POSS OF HANDGUN BY MINOR 1ST, TAMPERING W/PHYSICAL EVIDENCE, TRAFF IN CONT SUB, 1D1O LESS4GMS COCAINE",No,Closed - Lexington Police Report,,,,,,,
Theft,20133258,11/13/2013 - 2:00pm,12/2/2013,UNIVERSITY DR,TBUT OR DISP OF BICYCLE U/$500/M,No,Closed,,,,,,,,,,,,,,
Assault,CSA20130058,12/02/2013 - 6:00pm,12/2/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130059,12/02/2013 - 5:40pm,12/2/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20133245,12/01/2013 - 12:51am,12/1/2013,SOUTH LIMESTONE ST & TRANSCRIPT AVE,"DISREGARDING TRAFFIC CONTROL DEVICE, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 1ST AGG CIRCUM/M",No,Cleared By Arrest,,,,,,,,,,,,,
DUI,20133246,12/01/2013 - 3:27am,12/1/2013,EAST MAXWELL ST & STONE AVE,"OPERATING ON SUS OR REV OL/M, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M, FAILURE TO PRODUCE INSURANCE CARD",No,Cleared By Arrest,,,,,,,,,,,,
Criminal Trespass,20133247,12/01/2013 - 9:00am,12/1/2013,310 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING 3RD,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20133249,12/01/2013 - 10:00am,12/1/2013,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
All Other Offenses,20131920853,12/01/2013 - 9:45pm,12/1/2013,VARIOUS LOCATIONS,"STALKING, HARASSING COMMUNICATIONS",No,Closed - Lexington Police Report,,,,,,,,,,,,,
DUI,20133241,11/30/2013 - 3:19am,11/30/2013,NICHOLASVILLE RD & SHAWNEE PLACE,"ONE HEADLIGHT, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 1ST AGG CIRCUM/M",No,Cleared By Arrest,,,,,,,,,,,,,
Disorderly Conduct,20133244,11/30/2013 - 8:33pm,11/30/2013,1540 UNIVERSITY DR,DISORDERLY CONDUCT 2ND/M,No,Cleared By Arrest,,,,,,,,,,,,,,
DUI,20133236,11/29/2013 - 2:41am,11/29/2013,NICHOLASVILLE RD & ALUMNI DR,"SPEEDING 21 MPH OVER LIMIT, FAILURE TO PRODUCE INSURANCE CARD, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M, POSS OPEN ALC BEVERAGE CONTAIN IN MOTOR VEH PROHIBITED",No,Cleared By Arrest,,,,,,,,,,,
Assault,CSA20130054,11/29/2013 - 11:35am,11/29/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130055,11/29/2013 - 1:52pm,11/29/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130056,11/29/2013 - 3:45pm,11/29/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130057,11/29/2013 - 1:56pm,11/29/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20133234,11/28/2013 - 3:19am,11/28/2013,SOUTH LIMESTONE ST & WINSLOW ST,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M",No,Cleared By Arrest,,,,,,,,,,,,,
Drug Violations,20133233,11/28/2013 - 1:35am,11/28/2013,EAST MAXWELL ST & ROSE ST,"NO REGISTRATION PLATES, DRUG PARAPHERNALIA-BUY/POSSESS/M",No,Citation issued,,,,,,,,,,,,,
Drug Violations,20133227,11/27/2013 - 12:28am,11/27/2013,NICHOLASVILLE RD & FARM RD,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSSESS/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, UNLAWFUL TRANSACTION W/MINOR 3RD/M, FAILURE TO ILLUMINATE HEADLAMPS, INSTRUCTIONAL PERMIT VIOLATIONS, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEHICLE PROHIBITED, FLEEING/EVADING POLICE 2ND (ON FOOT)/M, TBUT OR DISP ALL OTHERS U/$500/M",No,Citation issued,,,,,,
Theft,CSA20130053,11/07/2013 - 12:00am,11/27/2013,597 SOUTH UPPER ST,TBUT FROM BUILDING U/$500/M,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20133229,11/27/2013 - 10:15am,11/27/2013,340 HILLTOP AVE,DRUG PARAPHERNALIA - BUY/POSSESS/M,Yes,Citation issued,,,,,,,,,,,,,,
Theft,20133222,11/12/2013 - 10:00am,11/26/2013,310 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
All Other Offenses,20133224,11/26/2013 - 2:50pm,11/26/2013,301 HILLTOP AVE,INDECENT EXPOSURE 2ND/M,No,Open,,,,,,,,,,,,,,
Burglary,20133223,11/24/2013 - 5:00pm,11/26/2013,758 WOODLAND AVE,BURGLARY 2ND/F,Yes,Open,,,,,,,,,,,,,,
Theft,2013186226,11/16/2013 - 12:01am,11/25/2013,800 ROSE ST,"TBUT OR DISP ALL OTHERS U/$500/M, FRAUDULENT USE CRDIT CARD AFTER REP LOST/STOL U500/M",No,Closed - Lexington Police Report,,,,,,,,,,,,,
Drug Violations,2013187783,11/23/2013 - 3:09am,11/25/2013,ALUMNI DR & NICHOLASVILLE RD,"FAILURE TO GIVE RIGHT OF WAY TO EMERGENCY STOPPED, OPER MOTOR VEHICLE U/INFLU/ALCOHOL <21 YOA, POSS OF MARIJUANA/M, PERSON 18-20 POSS/PURC/HAVE ANOTHER PURCHAS ALCOHO",No,Closed - Lexington Police Report,,,,,,,,,,,
Theft,20133217,11/25/2013 - 1:55pm,11/25/2013,505 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
Criminal Mischief,20133219,11/25/2013 - 4:45pm,11/25/2013,310 SOUTH LIMESTONE ST,CRIMINAL MISCHIEF 1ST/F,No,Cleared By Arrest,,,,,,,,,,,,,,
Terroristic Threatening,CSA20130050,11/25/2013 - 3:00pm,11/25/2013,1350 BULL LEA RD,TERRORISTIC THREATENING 3RD,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130051,11/25/2013 - 5:46pm,11/25/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130052,11/25/2013 - 6:50pm,11/25/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20133205,11/24/2013 - 2:45am,11/24/2013,SOUTH LIMESTONE & TRANSCRIPT AVE,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20133206,11/22/2013 - 11:00pm,11/24/2013,110 TRANSCRIPT AVE,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed,,,,,,,,,,,,,,
Theft,20133210,11/23/2013 - 8:00pm,11/24/2013,800 ROSE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed,,,,,,,,,,,,,
Alcohol Intoxication,201349744,11/24/2013 - 12:53am,11/24/2013,758 WOODLAND AVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Assault,CSA20130046,11/24/2013 - 11:10am,11/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130047,11/24/2013 - 3:31pm,11/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130048,11/24/2013 - 4:05pm,11/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130049,11/24/2013 - 3:24pm,11/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
All Other Offenses,20133215,11/22/2013 - 10:00am,11/24/2013,770 WOODLAND AVE,FORGERY 1ST/F,No,Closed,,,,,,,,,,,,,,
Drug Violations,20133189,11/23/2013 - 12:05am,11/23/2013,705 SPORTS CENTER DR,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Citation issued,,,,,,,,,,,,,
DUI,20133190,11/23/2013 - 1:26am,11/23/2013,SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS,"DISREGARDING TRAFFIC CONTROL DEVICE - TRAFFIC LIGHT, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, POSS OF OPEN ALC BEVERAGE CONTAIN IN MOTOR VEH PROHIBITED",No,Cleared By Arrest,,,,,,,,,,,,
Alcohol Intoxication,20133192,11/23/2013 - 4:15am,11/23/2013,343 SOUTH MLK BLVD,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),Yes,Cleared By Arrest,,,,,,,,,,,,,,
DUI,20133193,11/23/2013 - 4:31am,11/23/2013,SOUTH MAIN ST & RANSOM AVE,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M, PRESCRIPTION CONT SUB NOT PROPER CONTAIN 1ST/M, POSSESS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Cleared By Arrest,,,,,,,,,,
Criminal Mischief,20133196,11/23/2013 - 12:00am,11/23/2013,441 PENNSYLVANIA AVE,CRIMINAL MISCHIEF 1ST/F,Yes,Closed,,,,,,,,,,,,,,
Theft,20133197,10/07/2013 - 8:00am,11/23/2013,101 AVENUE OF CHAMPIONS,TBUT OR DISP FROM BUILDING U/$500/M,Yes,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,201349640,11/23/2013 - 12:20am,11/23/2013,VETERANS DR & HOSPITAL DR,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Assault,CSA20130044,11/23/2013 - 6:00pm,11/23/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130045,11/23/2013 - 6:55pm,11/23/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,20133178,11/22/2013 - 12:25am,11/22/2013,COLUMBIA AVE & WOODLAND AVE,CRIMINAL MISCHIEF 3RD/M,No,Closed,,,,,,,,,,,,,,
DUI,20133179,11/22/2013 - 2:50am,11/22/2013,MONTMULLIN ST,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M,No,Open,,,,,,,,,,,,,,
All Other Offenses,20133184,11/21/2013 - 3:30pm,11/22/2013,301 HILLTOP AVE,INDECENT EXPOSURE 2ND,No,Open,,,,,,,,,,,,,,
Criminal Trespass,20133182,11/22/2013 - 11:00am,11/22/2013,310 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING 3RD,No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,CSA20130041,11/20/2013 - 9:40pm,11/21/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20130042,11/20/2013 - 10:00pm,11/21/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,20133170,11/21/2013 - 3:18am,11/21/2013,SOUTH LIMESTONE ST & WARREN CT,"LICENSE TO BE IN POSSESSION/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,,,,,,,,,,,,
Burglary,20133171,11/20/2013 - 8:00pm,11/21/2013,512 ADMINISTRATION DR,"CRIMINAL MISCHIEF 3RD/M, BURGLARY 3RD/F",No,Open,,,,,,,,,,,,,
Burglary,20133172,11/19/2013 - 11:45am,11/21/2013,597 SOUTH UPPER ST,BURGLARY 3RD/F,No,Open,,,,,,,,,,,,,,
